gender,age_range,country,acct_age_weeks,user_id
female,45 - 54,US,0,192607aab4d54ce38d43fc439c405b73
male,35 - 44,GB,70,6bb92337844d4637bc021112623bf9bb
female,45 - 54,US,159,532efc754743438b8b70b9d18eb0f633
female,30 - 34,IT,139,5e8079ce4a3a45d88ac169bc57b29474
male,45 - 54,US,45,68f492c2dba04511bc44c95cb50a2936
female,25 - 29,AU,137,263f9a891175416d9b71f5a1abec4097
male,0 - 17,US,4,f0c77f978a9a47d79026aa3f8c29a327
female,25 - 29,DK,62,1ed448a3675943d4a7deea491d3b9ce5
male,35 - 44,NO,26,76f63bd7a5414a0482115291164ffe2e
male,25 - 29,US,9,64ccddb5c600486ebae0c9f812786c10
female,18 - 24,PL,31,cf0665ce5ce64dd58b5fdf3a92e00563
male,25 - 29,IT,57,f86589dff0ea459e8bf80f7f0147b3df
female,0 - 17,PH,1,9af3952a0ae547f9a82111c13677c462
male,18 - 24,NL,43,491bc0381a074b818f38cc84c5dd27db
male,0 - 17,LV,72,2fba71d5a42f4451ba3116ab83818a5b
male,18 - 24,MX,17,48defe09ed8e4e7595a4b802aaece96f
male,30 - 34,US,73,539ca352ec954c47a819db6f6ae0e9a0
female,0 - 17,US,60,f39e167862094760977ff078dd29dff8
female,18 - 24,US,160,b45a1bea78d14241b0b28490084b745c
male,18 - 24,MX,120,70fc0470a32741de83383f23f7ff0389
female,18 - 24,FR,4,79a9b189386542109c7a135d44785492
male,45 - 54,NL,118,7d8a4f74acd345c793b9aedaf06c3089
male,0 - 17,FR,27,64f5950deb7a4b2a97a07572bdde1ab8
male,55+,US,88,88352e6fb80d4038ae148421f036bd10
female,35 - 44,FR,49,bf83e1c5bed745469eb96ac5fa0e2c71
female,18 - 24,US,52,5468bf1bf289436eaba08e51a749794a
male,0 - 17,DE,62,7e7328285cf64f358c8bae0493d881d4
female,35 - 44,MY,11,04e2b4fead8746d3a62a004db82b93ad
male,25 - 29,DE,37,6daa77d773fa484abba29d49821f8bcc
female,0 - 17,AR,1,7cbebd6232ce427fb1fc2d7e404d7050
male,25 - 29,MX,3,1b56adf4ebcf45f4935e7befb6efdb42
